"team","position","passing_tds","rushing_tds","receiving_tds","passing_2pt_conversions","rushing_2pt_conversions","receiving_2pt_conversions","other_touchdown","pts","reg_ppg"
"ARI","K",0,0,0,0,0,0,0,103,6.4375
"ARI","OTH",0,0,0,0,0,0,2,12,0.75
"ARI","QB",27,2,0,1,0,0,0,121,7.5625
"ARI","RB",0,6,3,0,0,0,0,54,3.375
"ARI","TE",0,0,11,0,0,0,0,66,4.125
"ARI","WR",0,1,13,0,0,1,0,86,5.375
"ATL","K",0,0,0,0,0,0,0,114,7.125
"ATL","OTH",0,0,0,0,0,0,1,6,0.375
"ATL","QB",18,2,0,1,0,0,0,85,5.3125
"ATL","RB",0,15,4,0,1,0,0,116,7.25
"ATL","TE",0,0,5,0,0,0,0,30,1.875
"ATL","WR",0,0,9,0,0,1,0,56,3.5
"BAL","K",0,0,0,0,0,0,0,128,8
"BAL","OTH",0,0,0,0,0,0,2,12,0.75
"BAL","QB",20,2,0,1,0,0,0,93,5.8125
"BAL","RB",0,19,2,0,0,0,0,126,7.875
"BAL","TE",0,1,8,0,0,0,0,54,3.375
"BAL","WR",0,1,10,0,0,1,0,68,4.25
"BUF","K",0,0,0,0,0,0,0,102,6.375
"BUF","OTH",0,0,0,0,0,0,3,18,1.125
"BUF","QB",25,14,0,1,0,0,0,185,11.5625
"BUF","RB",0,14,4,0,0,0,0,108,6.75
"BUF","TE",0,0,11,0,0,1,0,68,4.25
"BUF","WR",0,1,10,0,0,0,0,66,4.125
"CAR","K",0,0,0,0,0,0,0,97,6.0625
"CAR","OTH",0,0,0,0,0,0,2,12,0.75
"CAR","QB",22,2,0,1,0,0,0,101,6.3125
"CAR","RB",0,7,4,0,0,0,0,66,4.125
"CAR","TE",0,0,4,0,0,0,0,24,1.5
"CAR","WR",0,0,14,0,0,1,0,86,5.375
"CHI","K",0,0,0,0,0,0,0,141,8.8125
"CHI","OTH",0,0,0,0,0,0,2,12,0.75
"CHI","QB",25,3,1,0,0,0,0,124,7.75
